"metric","name","percentage"
"stance","f",10.2167182662539
"stance","n",6.5015479876161
"stance","r",75.2321981424149
"stance","s",8.04953560371517
"obstacle","bank",8.6687306501548
"obstacle","flat",8.97832817337461
"obstacle","flat rail",5.57275541795666
"obstacle","gap",29.1021671826625
"obstacle","handrail",0.928792569659443
"obstacle","hip",2.1671826625387
"obstacle","hubba",0.619195046439629
"obstacle","ledge",31.8885448916409
"obstacle","pad",6.81114551083591
"obstacle","rail",0.619195046439629
"obstacle","stairs",0.309597523219814
"obstacle","street transition",0.309597523219814
"obstacle","transition",2.78637770897833
"obstacle","up",0.928792569659443
"obstacle","wall",0.309597523219814
"video","",13.9318885448916
"video","5ive Flavors",9.59752321981424
"video","Infamous",11.7647058823529
"video","La Luz",16.0990712074303
"video","Moving In Traffic",17.0278637770898
"video","Penal Code 100A",8.6687306501548
"video","Static II",15.7894736842105
"video","V5",0.309597523219814
"video","Wheels of Fortune",6.81114551083591
